Session,Hemisphere,Neuron,LFP,EEG
bp080n01,right,1,0,1
bp081n01,right,1,0,1
bp082n02,right,1,0,1
bp083n03,right,1,0,1
bp084n02,right,1,0,1
bp085n02,right,1,1,1
bp086n01,right,0,1,1
bp087n02,right,1,1,1
bp088n02,right,1,1,1
bp089n02,right,1,1,1
bp090n02,right,1,1,1
bp091n02-pm,right,1,1,1
bp092n02,right,1,1,1
bp093n02,right,1,1,1
bp094n03,right,1,1,1
bp095n04,right,1,1,1
bp096n02,right,1,1,1
bp097n02,right,0,0,1
bp097n03,right,0,1,1
bp098n01,right,0,1,1
bp099n02-pm,left,1,1,1
bp100n01,left,1,1,1
bp101n01,nan,0,0,1
bp103n01,nan,0,0,1
bp104n01,nan,0,0,1
bp106n01,nan,0,0,1
bp107n01,nan,0,0,1
bp109n01,nan,0,0,1
bp110n01-pm,left,1,1,1
bp111n02-pm,left,1,1,1
bp112n02-pm,left,1,1,1
bp113n01,left,0,1,1
bp114n01,nan,0,0,1
bp115n02,left,1,1,1
bp116n02-pm,left,1,1,1
bp117n01,nan,0,0,1
bp118n01,nan,0,0,1
bp119n02-pm,left,1,1,1
bp120n02-pm,left,1,1,1
bp121n02-pm,left,1,1,1
bp121n04,left,1,1,1
bp122n02,right,0,1,1
bp123n01,left,1,1,1
bp124n02,left,1,1,0
bp126n02-pm,right,1,1,1
bp127n02,right,0,0,1
bp128n02,right,0,1,1
bp129n02-pm,right,1,1,1
bp130n04,right,1,1,1
bp131n02,right,1,1,0
bp132n02-pm,right,1,1,0
bp136n02,nan,0,0,1
bp137n03,nan,0,0,1
bp138n03,nan,0,0,1
bp139n03,nan,0,0,1
bp140n03,nan,0,0,1
bp141n03,nan,0,0,1
bp142n02,nan,0,0,1
bp143n02,nan,0,0,1
bp144n02,nan,0,0,1
bp145n02,nan,0,0,1
bp149n02,nan,0,0,1
bp150n03,nan,0,0,1
bp152n02,nan,0,0,1
bp156n02,right,0,1,1
bp157n02,right,0,0,1
bp158n02-pm,right,1,1,1
bp160n01,right,1,1,1
bp161n02,right,0,0,1
bp162n02,right,1,1,1
bp162n03-pm,right,1,1,1
bp163n02-01,right,1,1,1
bp164n01-pm,right,1,1,1
bp165n01,right,1,1,1
bp166n02,right,0,1,1
bp167n04,right,1,1,1
bp168n04,right,1,1,1
bp169n02,nan,0,0,1
bp170n02,nan,0,0,1
bp171n02,nan,0,0,1
bp171n03,nan,0,0,1
bp172n02,nan,0,0,1
bp173n02,nan,0,0,1
bp174n02,nan,0,0,1
bp175n02,nan,0,0,1
bp176n02,nan,0,0,1
bp177n02,nan,0,0,1
bp178n02,nan,0,0,1
bp179n02,nan,0,0,1
bp180n02,nan,0,0,1
bp181n02,nan,0,0,1
bp182n02,nan,0,0,1
bp183n02,nan,0,0,1
bp184n02,nan,0,0,1
bp185n02,nan,0,0,1
bp186n02,nan,0,0,1
bp187n02,nan,0,0,1
bp188n02,nan,0,0,1
bp189n02,nan,0,0,1
bp192n02-tp,left,1,1,0
bp193n02-tp,left,1,1,0
bp194n02,left,1,1,0
bp195n04-tp,left,1,1,0
bp196n02-tp,left,1,1,0
bp197n02-tp,left,1,1,0
bp199n02,right,1,1,0
bp200n02,right,1,1,0
bp201n02,right,1,1,0
bp202n02,left,1,1,0
bp203n02,left,1,1,0
bp204n02,left,1,1,0
bp216n02,left,1,1,0
bp218n02,left,1,1,0
bp220n02,left,1,1,0
bp221n02,left,1,1,0
bp222n02,left,1,1,0
bp224n02,left,1,1,0
bp226n02,left,1,1,0
bp227n02,left,1,1,0
bp228n02,left,1,1,0
bp229n02-mm,left,1,1,0
bp230n02-mm,left,1,1,0
bp231n02-mm,left,1,1,0
bp232n02-mm,left,1,1,0
bp233n02,left,1,1,0
bp234n02,left,1,1,0
bp235n02,left,1,1,0
bp236n02,left,0,1,0
bp237n02,left,1,1,0
bp238n02,left,1,1,0
bp239n02,left,1,1,0
bp240n02,left,1,1,0
bp241n02,left,1,1,0
bp242n02,left,1,1,0
bp243n02,left,1,1,0
bp244n02,left,1,1,0
bp245n02,left,1,1,0
bp246n02,left,1,1,0
bp247n02,left,1,1,0
