session,unit,category,hemisphere,rf,ssd,ssrt,coherence,easyHard,nStop,pValue40msStopStop,cancelTime2Std,cancelTimeSdf,targToStopDiffSD,preSaccDiffSD
bp093n02,spikeUnit17,ddm_cancel,right,left,115,59,0.44,NaN,10,0.360946862923271,6,46,2.00694427051777,-33.6897582150434
bp093n02,spikeUnit17,ddm_cancel,right,left,45,59,0.44,NaN,16,0.446428007514829,38,118,1.57760328839192,-38.5797284156646
bp093n02,spikeUnit17,ddm_cancel,right,left,45,59,0.41,1,19,0.413187870965133,30,53,1.08496006122551,-34.7129604697481
bp093n02,spikeUnit17,ddm_cancel,right,left,115,59,0.41,1,20,0.0304601969587164,-1,38,2.36006226023115,-13.2945368657303
bp093n02,spikeUnit17,ddm_cancel,right,left,188,59,0.47,2,22,0.410789193273823,14,-3,0.511881454671396,-9.22414937281723
bp093n02,spikeUnit17,ddm_cancel,right,left,188,59,0.44,NaN,22,0.0173810815956737,-45,6,0.399801885052471,-51.619513417151
bp095n04,spikeUnit17,ddm_cancel,right,left,189,41,0.45,NaN,10,0.797917649741117,9,4,-0.0935798788303783,-56.4615268648538
bp095n04,spikeUnit17,ddm_cancel,right,left,45,41,0.41,1,10,0.696808915839854,36,99,-1.28832810874079,-12.7364449321809
bp095n04,spikeUnit17,ddm_cancel,right,left,116,41,0.41,1,10,0.765950867565744,14,18,-0.417040231938936,-41.4882942920964
bp095n04,spikeUnit17,ddm_cancel,right,left,258,41,0.48,2,11,0.889509510236905,86,-24,-0.0525664174071971,-21.9709324570903
bp095n04,spikeUnit17,ddm_cancel,right,left,116,41,0.48,2,12,0.176577997493955,49,52,0.664816282992272,-31.8280359123655
bp095n04,spikeUnit17,ddm_cancel,right,left,45,41,0.45,NaN,12,0.833542333908293,48,71,-1.33059673813032,-56.0569090137921
bp096n02,spikeUnit17,ddm_cancel,right,left,259,49,0.45,NaN,11,0.165195521400005,2,13,-0.413892803840911,-14.0224910370677
bp130n04,spikeUnit17,ddm_cancel,right,left,144,70,0.46,2,14,0.925899985764716,NaN,-68,0.841145745550516,-6.54993060140791
bp130n04,spikeUnit17,ddm_cancel,right,left,144,70,0.43,NaN,16,0.608626245037174,NaN,-45,1.9557468566995,-6.44438322291409
bp130n04,spikeUnit17,ddm_cancel,right,left,144,70,0.4,1,18,0.854096807943051,NaN,-48,1.43028136123365,-7.71821142374883
bp130n04,spikeUnit17,ddm_cancel,right,left,186,70,0.46,2,23,0.223735487253692,NaN,-54,0.148596843399958,6.3523865448367
bp130n04,spikeUnit17,ddm_cancel,right,left,186,70,0.43,NaN,27,0.00052797431557624,NaN,-67,0.325482499300372,-9.80545584057449
bp131n02,spikeUnit17,ddm_cancel,right,left,145,74,0.43,NaN,12,0.0904086473834109,10,9,-0.944640151317912,-5.19834143921615
bp131n02,spikeUnit17,ddm_cancel,right,left,145,74,0.46,2,12,0.00171421141152624,0,1,-0.818705278670613,-1.17448072146825
bp131n02,spikeUnit17,ddm_cancel,right,left,145,74,0.4,1,13,0.0024996666883085,-12,27,-1.56694128177601,-0.13442045770037
bp131n02,spikeUnit17,ddm_cancel,right,left,58,74,0.4,1,18,0.391382302373778,22,-28,-1.76058889203912,-5.29810115117856
bp131n02,spikeUnit17,ddm_cancel,right,left,58,74,0.43,NaN,18,0.410477679840039,18,15,-1.37530310938157,-6.57171881757104
bp131n02,spikeUnit17,ddm_cancel,right,left,186,74,0.46,2,25,0.161961056715076,2,31,-0.52612327654539,-0.97091612308678
bp131n02,spikeUnit17,ddm_cancel,right,left,58,74,0.46,2,26,0.203681599054419,14,-37,-1.01591983776609,-2.57506139372772
bp167n04,spikeUnit17,ddm_cancel,right,left,45,109,0.46,2,13,0.240780763292671,-1,13,-0.393257293331862,-4.67824609960532
bp167n04,spikeUnit17,ddm_cancel,right,left,157,109,0.46,2,15,0.248084676712668,5,4,-1.09356509286348,-13.153500997978
bp167n04,spikeUnit17,ddm_cancel,right,left,157,109,0.43,1,16,0.108114116692539,-22,-46,-0.79925165817881,-7.60778015765075
bp167n04,spikeUnit17,ddm_cancel,right,left,45,109,0.43,1,18,0.0365760591559054,11,15,-3.6406506898216,-10.316542005704
bp222n02,spikeUnit05,ddm_cancel,left,right,232,66,0.53,2,21,0.000153639949236702,-19,-18,-0.187729443424096,-8.00990873557354
bp222n02,spikeUnit05,ddm_cancel,left,right,232,66,0.58,1,22,0.114583498961969,11,-24,0.4074598065475,-5.20720370580437
bp222n02,spikeUnit05,ddm_cancel,left,right,379,66,0.53,2,26,0.0678253893904069,-5,-11,-0.049102848292388,-5.95354311213829
bp222n02,spikeUnit05,ddm_cancel,left,right,88,66,0.58,1,31,0.585177817496803,67,116,-0.364718668698837,-6.17937918573091
bp227n02,spikeUnit07,ddm_cancel,left,right,233,70,0.58,1,15,0.965761812776916,NaN,NaN,0.295223642278671,-7.45450190773463
bp227n02,spikeUnit07,ddm_cancel,left,right,378,70,0.53,2,29,0.348854010044535,31,4,0.695162859659044,-6.8874879713728
bp227n02,spikeUnit07,ddm_cancel,left,right,233,70,0.53,2,31,0.0388198586351003,NaN,NaN,0.353145391191874,-4.07315441868166
bp227n02,spikeUnit07,ddm_cancel,left,right,87,70,0.58,1,34,0.555448176581654,NaN,NaN,-1.16374276899721,-15.3256516378269
bp228n02,spikeUnit09,ddm_cancel,left,right,232,65,0.58,1,17,0.124388920391034,37,-53,0.0616439818443092,-5.43064912111486
bp228n02,spikeUnit09,ddm_cancel,left,right,232,65,0.53,2,23,0.236032020388622,155,NaN,-0.262707855519772,-4.29678378706588
bp228n02,spikeUnit09,ddm_cancel,left,right,378,65,0.53,2,24,0.224037695649095,33,13,0.0965427750738718,-12.28320678186
bp228n02,spikeUnit09,ddm_cancel,left,right,88,65,0.58,1,31,0.800359737982878,121,NaN,0.0140685372896289,-14.2440630892237
bp228n02,spikeUnit15,ddm_cancel,left,right,232,65,0.58,1,17,0.0178364028016831,NaN,NaN,-1.4997913512658,-9.23601934080108
bp228n02,spikeUnit15,ddm_cancel,left,right,232,65,0.53,2,23,0.886621821921953,NaN,NaN,-0.917163823608738,-19.4860734130588
bp228n02,spikeUnit15,ddm_cancel,left,right,378,65,0.53,2,24,0.192573192785612,NaN,NaN,-0.531097639140398,-20.3826561246273
bp228n02,spikeUnit15,ddm_cancel,left,right,88,65,0.58,1,31,0.145863044447159,16,-47,-1.54107377838751,-21.4187128653041
bp229n02-mm,spikeUnit03,ddm_cancel,left,right,89,54,0.58,1,20,0.451436863271589,48,28,-1.07348110988312,-10.9529398855577
