sessionID,unit,category
bp093n02,spikeUnit17,ddm_cancel
bp095n04,spikeUnit17,ddm_cancel
bp096n02,spikeUnit17,ddm_cancel
bp130n04,spikeUnit17,ddm_cancel
bp131n02,spikeUnit17,ddm_cancel
bp167n04,spikeUnit17,ddm_cancel
bp222n02,spikeUnit05,ddm_cancel
bp227n02,spikeUnit07,ddm_cancel
bp228n02,spikeUnit09,ddm_cancel
bp228n02,spikeUnit15,ddm_cancel
bp229n02-mm,spikeUnit03,ddm_cancel
bp229n02-mm,spikeUnit04,ddm_cancel
bp229n02-mm,spikeUnit12,ddm_cancel
bp230n02-mm,spikeUnit11,ddm_cancel
bp234n02,spikeUnit22,ddm_cancel
bp235n02,spikeUnit05,ddm_cancel
bp242n02,spikeUnit32,ddm_cancel
bp243n02,spikeUnit14,ddm_cancel
bp243n02,spikeUnit15,ddm_cancel
bp243n02,spikeUnit16,ddm_cancel
bp244n02,spikeUnit26,ddm_cancel
bp244n02,spikeUnit27,ddm_cancel
bp246n02,spikeUnit29,ddm_cancel
bp246n02,spikeUnit30,ddm_cancel
bp247n02,spikeUnit12,ddm_cancel
bp090n02,spikeUnit17,noddm_cancel
bp121n02-pm,spikeUnit17,noddm_cancel
bp126n02-pm,spikeUnit17,noddm_cancel
bp158n02-pm,spikeUnit17,noddm_cancel
bp163n02-01,spikeUnit17,noddm_cancel
bp200n02,spikeUnit09,noddm_cancel
bp222n02,spikeUnit06,noddm_cancel
bp228n02,spikeUnit13,noddm_cancel
bp228n02,spikeUnit30,noddm_cancel
bp229n02-mm,spikeUnit14,noddm_cancel
bp230n02-mm,spikeUnit25,noddm_cancel
bp232n02-mm,spikeUnit03,noddm_cancel
bp232n02-mm,spikeUnit09,noddm_cancel
bp234n02,spikeUnit03,noddm_cancel
bp234n02,spikeUnit20,noddm_cancel
bp234n02,spikeUnit27,noddm_cancel
bp237n02,spikeUnit15,noddm_cancel
bp238n02,spikeUnit20,noddm_cancel
bp240n02,spikeUnit14,noddm_cancel
bp240n02,spikeUnit27,noddm_cancel
bp240n02,spikeUnit28,noddm_cancel
bp242n02,spikeUnit31,noddm_cancel
bp243n02,spikeUnit13,noddm_cancel
bp243n02,spikeUnit25,noddm_cancel
bp244n02,spikeUnit25,noddm_cancel
bp247n02,spikeUnit16,noddm_cancel
bp247n02,spikeUnit29,noddm_cancel
bp247n02,spikeUnit30,noddm_cancel
bp247n02,spikeUnit31,noddm_cancel
bp081n01,spikeUnit17,ddm_nocancel
bp085n02,spikeUnit17,ddm_nocancel
bp087n02,spikeUnit17,ddm_nocancel
bp089n02,spikeUnit17,ddm_nocancel
bp112n02-pm,spikeUnit17,ddm_nocancel
bp160n01,spikeUnit17,ddm_nocancel
bp222n02,spikeUnit04,ddm_nocancel
bp229n02-mm,spikeUnit02,ddm_nocancel
bp229n02-mm,spikeUnit05,ddm_nocancel
bp245n02,spikeUnit28,ddm_nocancel
bp088n02,spikeUnit17,noddm_nocancel
bp123n01,spikeUnit17,noddm_nocancel
bp132n02-pm,spikeUnit17,noddm_nocancel
bp196n02-tp,spikeUnit17,noddm_nocancel
bp200n02,spikeUnit08,noddm_nocancel
bp229n02-mm,spikeUnit06,noddm_nocancel
bp229n02-mm,spikeUnit18,noddm_nocancel
bp230n02-mm,spikeUnit12,noddm_nocancel
bp232n02-mm,spikeUnit04,noddm_nocancel
bp234n02,spikeUnit10,noddm_nocancel
bp234n02,spikeUnit11,noddm_nocancel
bp235n02,spikeUnit04,noddm_nocancel
bp244n02,spikeUnit28,noddm_nocancel
