sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp080n01,spikeUnit17,left,101,50,0.44,NaN,52
bp080n01,spikeUnit17,left,159,50,0.47,2,-22
bp080n01,spikeUnit17,left,101,50,0.41,1,46
bp080n01,spikeUnit17,left,159,50,0.44,NaN,24
bp081n01,spikeUnit17,right,43,35,0.52,2,NaN
bp081n01,spikeUnit17,right,100,35,0.52,2,NaN
bp087n02,spikeUnit17,right,46,56,0.56,NaN,66
bp088n02,spikeUnit17,left,44,69,0.41,1,NaN
bp088n02,spikeUnit17,left,116,69,0.41,1,NaN
bp088n02,spikeUnit17,left,116,69,0.44,NaN,NaN
bp088n02,spikeUnit17,left,44,69,0.44,NaN,NaN
bp088n02,spikeUnit17,left,116,69,0.47,2,NaN
bp088n02,spikeUnit17,left,44,69,0.47,2,NaN
bp090n02,spikeUnit17,left,44,68,0.41,1,32
bp090n02,spikeUnit17,left,116,68,0.47,2,-20
bp090n02,spikeUnit17,left,44,68,0.47,2,83
bp091n02-pm,spikeUnit17,left,44,63,0.41,1,NaN
bp093n02,spikeUnit17,left,115,59,0.44,NaN,46
bp093n02,spikeUnit17,left,45,59,0.44,NaN,118
bp093n02,spikeUnit17,left,45,59,0.41,1,53
bp093n02,spikeUnit17,left,115,59,0.41,1,38
bp093n02,spikeUnit17,left,188,59,0.47,2,-3
bp093n02,spikeUnit17,left,188,59,0.44,NaN,6
bp095n04,spikeUnit17,left,189,41,0.45,NaN,4
bp095n04,spikeUnit17,left,45,41,0.41,1,99
bp095n04,spikeUnit17,left,116,41,0.41,1,18
bp095n04,spikeUnit17,left,258,41,0.48,2,-24
bp095n04,spikeUnit17,left,116,41,0.48,2,52
bp095n04,spikeUnit17,left,45,41,0.45,NaN,71
bp096n02,spikeUnit17,left,259,49,0.45,NaN,13
bp112n02-pm,spikeUnit17,right,200,55,0.54,2,NaN
bp112n02-pm,spikeUnit17,right,158,55,0.58,1,NaN
bp112n02-pm,spikeUnit17,right,158,55,0.56,NaN,NaN
bp112n02-pm,spikeUnit17,right,200,55,0.56,NaN,NaN
bp112n02-pm,spikeUnit17,right,243,55,0.54,2,NaN
bp112n02-pm,spikeUnit17,right,158,55,0.54,2,NaN
bp121n02-pm,spikeUnit17,left,157,78,0.46,2,NaN
bp121n02-pm,spikeUnit17,left,157,78,0.43,NaN,-38
bp121n02-pm,spikeUnit17,left,157,78,0.4,1,15
bp123n01,spikeUnit17,left,57,81,0.43,NaN,NaN
bp123n01,spikeUnit17,left,158,81,0.46,2,NaN
bp123n01,spikeUnit17,left,57,81,0.4,1,NaN
bp123n01,spikeUnit17,left,57,81,0.46,2,NaN
bp126n02-pm,spikeUnit17,left,200,62,0.43,NaN,NaN
bp126n02-pm,spikeUnit17,left,158,62,0.43,NaN,NaN
bp126n02-pm,spikeUnit17,left,158,62,0.4,1,-40
bp126n02-pm,spikeUnit17,left,158,62,0.46,2,-53
bp126n02-pm,spikeUnit17,left,200,62,0.46,2,NaN
bp126n02-pm,spikeUnit17,left,200,62,0.4,1,NaN
bp130n04,spikeUnit17,left,144,70,0.46,2,-68
bp130n04,spikeUnit17,left,144,70,0.43,NaN,-45
bp130n04,spikeUnit17,left,144,70,0.4,1,-48
bp130n04,spikeUnit17,left,186,70,0.46,2,-54
bp130n04,spikeUnit17,left,186,70,0.43,NaN,-67
bp131n02,spikeUnit17,left,145,74,0.43,NaN,9
bp131n02,spikeUnit17,left,145,74,0.46,2,1
bp131n02,spikeUnit17,left,145,74,0.4,1,27
bp131n02,spikeUnit17,left,58,74,0.4,1,-28
bp131n02,spikeUnit17,left,58,74,0.43,NaN,15
bp131n02,spikeUnit17,left,186,74,0.46,2,31
bp131n02,spikeUnit17,left,58,74,0.46,2,-37
bp132n02-pm,spikeUnit17,right,144,64,0.54,2,NaN
bp132n02-pm,spikeUnit17,right,144,64,0.6,1,NaN
bp132n02-pm,spikeUnit17,right,186,64,0.57,NaN,NaN
bp132n02-pm,spikeUnit17,right,186,64,0.54,2,NaN
bp132n02-pm,spikeUnit17,right,144,64,0.57,NaN,NaN
bp158n02-pm,spikeUnit17,right,144,80,0.53,2,NaN
bp158n02-pm,spikeUnit17,right,144,80,0.56,NaN,-18
bp158n02-pm,spikeUnit17,right,243,80,0.53,2,NaN
bp158n02-pm,spikeUnit17,right,144,80,0.6,1,NaN
bp158n02-pm,spikeUnit17,right,44,80,0.6,1,NaN
bp160n01,spikeUnit17,right,143,88,0.56,NaN,NaN
bp160n01,spikeUnit17,right,143,88,0.53,2,NaN
bp163n02-01,spikeUnit17,left,158,71,0.43,1,-64
bp163n02-01,spikeUnit17,left,158,71,0.47,2,NaN
bp163n02-01,spikeUnit17,left,273,71,0.47,2,NaN
bp167n04,spikeUnit17,left,45,109,0.46,2,13
bp167n04,spikeUnit17,left,157,109,0.46,2,4
bp167n04,spikeUnit17,left,157,109,0.43,1,-46
bp167n04,spikeUnit17,left,45,109,0.43,1,15
bp196n02-tp,spikeUnit17,right,230,103,0.55,2,NaN
bp196n02-tp,spikeUnit17,right,372,103,0.55,2,NaN
bp196n02-tp,spikeUnit17,right,230,103,0.58,1,NaN
bp196n02-tp,spikeUnit17,right,86,103,0.58,1,NaN
bp200n02,spikeUnit08,left,230,89,0.45,2,NaN
bp200n02,spikeUnit08,left,230,89,0.42,1,NaN
bp200n02,spikeUnit08,left,89,89,0.42,1,63
bp200n02,spikeUnit08,left,89,89,0.45,2,NaN
bp200n02,spikeUnit09,left,230,89,0.45,2,NaN
bp200n02,spikeUnit09,left,230,89,0.42,1,-36
bp200n02,spikeUnit09,left,89,89,0.42,1,76
bp200n02,spikeUnit09,left,89,89,0.45,2,NaN
bp222n02,spikeUnit04,right,232,66,0.53,2,NaN
bp222n02,spikeUnit04,right,232,66,0.58,1,NaN
bp222n02,spikeUnit04,right,379,66,0.53,2,NaN
bp222n02,spikeUnit04,right,88,66,0.58,1,NaN
bp222n02,spikeUnit05,right,232,66,0.53,2,-18
bp222n02,spikeUnit05,right,232,66,0.58,1,-24
bp222n02,spikeUnit05,right,379,66,0.53,2,-11
bp222n02,spikeUnit05,right,88,66,0.58,1,116
bp222n02,spikeUnit06,right,232,66,0.53,2,8
bp222n02,spikeUnit06,right,232,66,0.58,1,35
bp222n02,spikeUnit06,right,379,66,0.53,2,NaN
bp222n02,spikeUnit06,right,88,66,0.58,1,NaN
bp227n02,spikeUnit07,right,233,70,0.58,1,NaN
bp227n02,spikeUnit07,right,378,70,0.53,2,4
