sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp080n01,spikeUnit17,right,43,35,0.52,2,243
bp080n01,spikeUnit17,right,100,35,0.52,2,175
bp081n01,spikeUnit17,right,43,35,0.52,2,233
bp081n01,spikeUnit17,right,100,35,0.52,2,175
bp087n02,spikeUnit17,right,46,45,0.56,NaN,81
bp088n02,spikeUnit17,left,44,59,0.41,1,NaN
bp088n02,spikeUnit17,left,116,59,0.41,1,NaN
bp088n02,spikeUnit17,left,116,59,0.44,NaN,NaN
bp088n02,spikeUnit17,left,44,59,0.44,NaN,NaN
bp088n02,spikeUnit17,left,116,59,0.47,2,NaN
bp088n02,spikeUnit17,left,44,59,0.47,2,NaN
bp090n02,spikeUnit17,left,44,50,0.41,1,60
bp090n02,spikeUnit17,left,116,50,0.47,2,11
bp090n02,spikeUnit17,left,44,50,0.47,2,23
bp091n02-pm,spikeUnit17,left,44,61,0.41,1,NaN
bp093n02,spikeUnit17,left,115,59,0.44,NaN,6
bp093n02,spikeUnit17,left,45,59,0.44,NaN,38
bp093n02,spikeUnit17,left,45,59,0.41,1,30
bp093n02,spikeUnit17,left,115,59,0.41,1,-1
bp093n02,spikeUnit17,left,188,59,0.47,2,14
bp093n02,spikeUnit17,left,188,59,0.44,NaN,-45
bp095n04,spikeUnit17,left,189,41,0.45,NaN,8
bp095n04,spikeUnit17,left,45,41,0.41,1,35
bp095n04,spikeUnit17,left,116,41,0.41,1,14
bp095n04,spikeUnit17,left,258,41,0.48,2,86
bp095n04,spikeUnit17,left,116,41,0.48,2,49
bp095n04,spikeUnit17,left,45,41,0.45,NaN,34
bp096n02,spikeUnit17,left,259,49,0.45,NaN,2
bp112n02-pm,spikeUnit17,right,200,55,0.54,2,107
bp112n02-pm,spikeUnit17,right,158,55,0.58,1,196
bp112n02-pm,spikeUnit17,right,158,55,0.56,NaN,166
bp112n02-pm,spikeUnit17,right,200,55,0.56,NaN,77
bp112n02-pm,spikeUnit17,right,243,55,0.54,2,NaN
bp112n02-pm,spikeUnit17,right,158,55,0.54,2,177
bp121n02-pm,spikeUnit17,left,157,78,0.46,2,NaN
bp121n02-pm,spikeUnit17,left,157,78,0.43,NaN,NaN
bp121n02-pm,spikeUnit17,left,157,78,0.4,1,29
bp123n01,spikeUnit17,left,57,81,0.43,NaN,NaN
bp123n01,spikeUnit17,left,158,81,0.46,2,97
bp123n01,spikeUnit17,left,57,81,0.4,1,NaN
bp123n01,spikeUnit17,left,57,81,0.46,2,NaN
bp126n02-pm,spikeUnit17,left,200,62,0.43,NaN,89
bp126n02-pm,spikeUnit17,left,158,62,0.43,NaN,82
bp126n02-pm,spikeUnit17,left,158,62,0.4,1,73
bp126n02-pm,spikeUnit17,left,158,62,0.46,2,29
bp126n02-pm,spikeUnit17,left,200,62,0.46,2,40
bp126n02-pm,spikeUnit17,left,200,62,0.4,1,136
bp130n04,spikeUnit17,left,144,70,0.46,2,NaN
bp130n04,spikeUnit17,left,144,70,0.43,NaN,NaN
bp130n04,spikeUnit17,left,144,70,0.4,1,NaN
bp130n04,spikeUnit17,left,186,70,0.46,2,NaN
bp130n04,spikeUnit17,left,186,70,0.43,NaN,NaN
bp131n02,spikeUnit17,left,145,74,0.43,NaN,10
bp131n02,spikeUnit17,left,145,74,0.46,2,0
bp131n02,spikeUnit17,left,145,74,0.4,1,-12
bp131n02,spikeUnit17,left,58,74,0.4,1,22
bp131n02,spikeUnit17,left,58,74,0.43,NaN,18
bp131n02,spikeUnit17,left,186,74,0.46,2,2
bp131n02,spikeUnit17,left,58,74,0.46,2,14
bp132n02-pm,spikeUnit17,right,144,64,0.54,2,-12
bp132n02-pm,spikeUnit17,right,144,64,0.6,1,NaN
bp132n02-pm,spikeUnit17,right,186,64,0.57,NaN,NaN
bp132n02-pm,spikeUnit17,right,186,64,0.54,2,-45
bp132n02-pm,spikeUnit17,right,144,64,0.57,NaN,NaN
bp158n02-pm,spikeUnit17,right,144,78,0.53,2,120
bp158n02-pm,spikeUnit17,right,144,78,0.56,NaN,6
bp158n02-pm,spikeUnit17,right,243,78,0.53,2,NaN
bp158n02-pm,spikeUnit17,right,144,78,0.6,1,158
bp158n02-pm,spikeUnit17,right,44,78,0.6,1,NaN
bp160n01,spikeUnit17,right,143,80,0.56,NaN,84
bp160n01,spikeUnit17,right,143,80,0.53,2,NaN
bp163n02-01,spikeUnit17,left,158,71,0.43,1,226
bp163n02-01,spikeUnit17,left,158,71,0.47,2,174
bp163n02-01,spikeUnit17,left,273,71,0.47,2,183
bp167n04,spikeUnit17,left,45,76,0.46,2,33
