sessionID,unit,hemisphere,rf,choice,coherence,coherenceMean,ddm,ddmRank,ddmRankMean,tChoice,choiceSelectionTime,leftIsIn,coeffIn_1,coeffIn_2,coeffOut_1,coeffOut_2
bp080n01,spikeUnit17,right,right,1,0,0,0,1,0,150,204,0,186.760615807157,-72.4678733396337,15.36859526292,12.8268848634483
bp081n01,spikeUnit17,right,right,1,0,1,0,1,1,150,151,0,55.9677338896045,-5.32218847268561,135.182990987343,-44.3169627855266
bp082n02,spikeUnit17,right,none,0,0,0,0,0,0,250,348,1,46.1552848135073,-7.99468312493267,-132.807754606196,86.8799352095567
bp083n03,spikeUnit17,right,none,0,0,0,0,0,0,240,NaN,0,39.864686073948,10.2390433124472,57.1747329766647,5.18314861123048
bp084n02,spikeUnit17,right,none,1,0,0,0,0,0,150,657,1,131.845841784985,-12.7877237851642,-28.4900284900397,49.3945868945931
bp085n02,spikeUnit17,right,left,1,1,1,1,1,1,150,146,1,-365.987029875963,198.430665538594,-75.9563545331855,64.276345497057
bp087n02,spikeUnit17,right,right,1,0,1,0,1,1,150,143,0,214.910997187661,-34.8771443625548,119.102987652526,-0.799115126269069
bp088n02,spikeUnit17,right,left,0,0,0,0,0,0,160,169,1,-124.027388184301,113.802306909019,-30.8574168809905,74.9250321974119
bp089n02,spikeUnit17,right,left,1,1,1,1,1,1,150,115,1,-346.880342974565,214.205966970583,-290.134682890719,200.766291975649
bp090n02,spikeUnit17,right,left,1,0,0,0,1,0,150,187,1,-39.9579078507898,80.7726364470406,-0.734807402978957,40.5737220111976
bp091n02-pm,spikeUnit17,right,left,0,0,0,0,0,0,150,284,1,322.865862354179,-83.9707937594462,347.242629052799,-143.677147614851
bp092n02,spikeUnit17,right,left,1,1,1,1,1,1,150,123,1,-295.884772114572,277.99527519474,-241.835180041866,271.038498848901
bp093n02,spikeUnit17,right,left,1,1,1,1,1,1,150,149,1,-322.27193411084,258.091858837981,-123.950968146954,142.482164407245
bp094n03,spikeUnit17,right,left,1,0,0,0,1,0,150,140,1,62.7894951921496,112.336428755472,-414.9380941973,344.059693593432
bp095n04,spikeUnit17,right,left,1,0,1,0,1,1,150,177,1,-69.4572701089625,185.717031107293,-58.7718398363085,152.980734602929
bp096n02,spikeUnit17,right,left,1,0,1,0,0,1,180,500,1,-189.924352164832,418.791244165467,49.1118077325109,270.961337513054
bp099n02-pm,spikeUnit17,left,none,0,0,0,0,0,0,270,634,1,176.497909893172,30.6084533209475,289.457647775746,-61.6697135892748
bp100n01,spikeUnit17,left,none,0,0,0,0,0,0,230,777,1,-50.0116306117707,122.260990928123,-50.6420690902515,133.523241092422
bp100n01,spikeUnit18,left,none,0,0,0,0,0,0,190,NaN,0,-90.288464614973,152.996324766915,73.9963526400946,62.6525224690963
bp110n01-pm,spikeUnit17,left,right,0,1,0,0,0,0,210,231,1,-73.2222503492592,49.7834247226789,436.227384381346,-223.986118843101
bp111n02-pm,spikeUnit17,left,none,0,0,0,0,0,0,150,445,1,-140.733348686061,165.671298073232,522.009527170068,-184.509527170072
bp112n02-pm,spikeUnit17,left,right,1,0,1,0,1,1,150,172,0,260.194199751024,-29.9866033502938,253.437966452081,-22.0168337232909
bp115n02,spikeUnit17,left,right,1,1,1,1,1,1,150,142,0,445.906925071244,-83.664998124427,333.441808940802,-6.4442456842635
bp116n02-pm,spikeUnit17,left,right,0,0,0,0,0,0,150,269,1,-273.159287776714,161.418431183833,-72.4599208554958,86.1532061567764
bp119n02-pm,spikeUnit17,left,none,0,0,0,0,0,0,210,374,1,6.26223091976502,3.1937377690803,56.9343065693437,-26.6861313868616
bp120n02-pm,spikeUnit17,left,right,0,0,0,0,0,0,150,370,1,203.622628551813,9.95450253240361,94.3269282523262,42.0272888745367
bp121n02-pm,spikeUnit17,left,left,0,1,0,0,0,0,150,344,1,-790.391250091767,482.881890919773,183.634992458524,21.1651583710398
bp121n04,spikeUnit17,left,right,1,1,0,1,0,0,150,184,0,439.278107084263,-199.122885477639,-87.7261138568452,71.2278694978437
bp123n01,spikeUnit17,left,left,1,0,0,0,0,0,150,NaN,1,1.07402679412851,48.8969547751822,-30.7886457218241,60.2395175970295
bp124n02,spikeUnit17,left,right,1,0,1,0,1,1,150,144,0,74.2662126295467,113.692512841472,233.983537192602,6.85125718200455
