sessionID,unit,ssrt,coherence,ssd,nStop,pValue40ms,cancelTime
bp090n02,spikeUnit17,50,0.41,44,11,0.733981438515148,60
bp090n02,spikeUnit17,50,0.47,116,12,0.192480979546705,11
bp090n02,spikeUnit17,50,0.47,44,13,0.387436125780906,23
bp093n02,spikeUnit17,59,0.44,115,10,0.360946862923271,6
bp093n02,spikeUnit17,59,0.44,45,16,0.446428007514829,38
bp093n02,spikeUnit17,59,0.41,45,19,0.413187870965133,30
bp093n02,spikeUnit17,59,0.41,115,20,0.0304601969587164,-1
bp093n02,spikeUnit17,59,0.47,188,22,0.410789193273823,14
bp093n02,spikeUnit17,59,0.44,188,22,0.0173810815956737,-45
bp095n04,spikeUnit17,41,0.45,189,10,0.797917649741116,8
bp095n04,spikeUnit17,41,0.41,45,10,0.699969302415749,35
bp095n04,spikeUnit17,41,0.41,116,10,0.786909968035551,14
bp095n04,spikeUnit17,41,0.48,258,11,0.928915710652743,86
bp095n04,spikeUnit17,41,0.48,116,12,0.129753226072598,49
bp095n04,spikeUnit17,41,0.45,45,12,0.448559358441438,34
bp131n02,spikeUnit17,74,0.43,145,12,0.0904086473834109,10
bp131n02,spikeUnit17,74,0.46,145,12,0.00171421141152624,0
bp131n02,spikeUnit17,74,0.4,145,13,0.0024996666883085,-12
bp131n02,spikeUnit17,74,0.4,58,18,0.391382302373778,22
bp131n02,spikeUnit17,74,0.43,58,18,0.410477679840039,18
bp131n02,spikeUnit17,74,0.46,186,25,0.161961056715076,2
bp131n02,spikeUnit17,74,0.46,58,26,0.203681599054419,14
bp132n02-pm,spikeUnit17,64,0.54,144,11,0.0682290078246027,-12
bp132n02-pm,spikeUnit17,64,0.6,144,11,0.138152604527412,NaN
bp132n02-pm,spikeUnit17,64,0.57,186,12,0.108758738083829,NaN
bp132n02-pm,spikeUnit17,64,0.54,186,14,0.783104342781264,-45
bp132n02-pm,spikeUnit17,64,0.57,144,23,0.580469523127488,NaN
bp158n02-pm,spikeUnit17,78,0.53,144,12,0.486548639427517,120
bp158n02-pm,spikeUnit17,78,0.56,144,12,0.101778643710644,6
bp158n02-pm,spikeUnit17,78,0.53,243,12,0.627234560345262,NaN
bp158n02-pm,spikeUnit17,78,0.6,144,19,0.518910335851417,158
bp158n02-pm,spikeUnit17,78,0.6,44,21,0.337697718476725,NaN
bp167n04,spikeUnit17,76,0.46,45,13,0.222196658176398,33
bp167n04,spikeUnit17,76,0.46,157,15,0.674634089040574,39
