sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
jp054n02,spikeUnit01,right,480,51,0.58,1,-33
jp054n02,spikeUnit01,right,348,51,0.53,2,-17
jp054n02,spikeUnit01,right,611,51,0.58,1,NaN
jp054n02,spikeUnit01,right,348,51,0.58,1,7
jp054n02,spikeUnit01,right,480,51,0.53,2,-4
jp054n02,spikeUnit02,right,480,51,0.58,1,71
jp054n02,spikeUnit02,right,348,51,0.53,2,-31
jp054n02,spikeUnit02,right,611,51,0.58,1,NaN
jp054n02,spikeUnit02,right,348,51,0.58,1,NaN
jp054n02,spikeUnit02,right,480,51,0.53,2,-24
jp054n02,spikeUnit03,right,480,51,0.58,1,52
jp054n02,spikeUnit03,right,348,51,0.53,2,-36
jp054n02,spikeUnit03,right,611,51,0.58,1,NaN
jp054n02,spikeUnit03,right,348,51,0.58,1,NaN
jp054n02,spikeUnit03,right,480,51,0.53,2,65
jp054n02,spikeUnit04,right,480,51,0.58,1,11
jp054n02,spikeUnit04,right,348,51,0.53,2,-35
jp054n02,spikeUnit04,right,611,51,0.58,1,4
jp054n02,spikeUnit04,right,348,51,0.58,1,10
jp054n02,spikeUnit04,right,480,51,0.53,2,-10
jp054n02,spikeUnit05,right,480,51,0.58,1,NaN
jp054n02,spikeUnit05,right,348,51,0.53,2,NaN
jp054n02,spikeUnit05,right,611,51,0.58,1,-27
jp054n02,spikeUnit05,right,348,51,0.58,1,NaN
jp054n02,spikeUnit05,right,480,51,0.53,2,3
jp054n02,spikeUnit06,right,480,51,0.58,1,-7
jp054n02,spikeUnit06,right,348,51,0.53,2,-45
jp054n02,spikeUnit06,right,611,51,0.58,1,-26
jp054n02,spikeUnit06,right,348,51,0.58,1,NaN
jp054n02,spikeUnit06,right,480,51,0.53,2,3
jp054n02,spikeUnit07,right,480,51,0.58,1,-9
jp054n02,spikeUnit07,right,348,51,0.53,2,-44
jp054n02,spikeUnit07,right,611,51,0.58,1,1
jp054n02,spikeUnit07,right,348,51,0.58,1,NaN
jp054n02,spikeUnit07,right,480,51,0.53,2,11
jp054n02,spikeUnit08,right,480,51,0.58,1,NaN
jp054n02,spikeUnit08,right,348,51,0.53,2,14
jp054n02,spikeUnit08,right,611,51,0.58,1,-41
jp054n02,spikeUnit08,right,348,51,0.58,1,NaN
jp054n02,spikeUnit08,right,480,51,0.53,2,19
jp054n02,spikeUnit09,left,480,51,0.47,2,-31
jp054n02,spikeUnit09,left,348,51,0.42,1,NaN
jp054n02,spikeUnit09,left,218,51,0.42,1,5
jp054n02,spikeUnit09,left,348,51,0.47,2,-39
jp054n02,spikeUnit09,left,611,51,0.47,2,-49
jp054n02,spikeUnit10,left,480,51,0.47,2,NaN
jp054n02,spikeUnit10,left,348,51,0.42,1,NaN
jp054n02,spikeUnit10,left,218,51,0.42,1,-10
jp054n02,spikeUnit10,left,348,51,0.47,2,-45
jp054n02,spikeUnit10,left,611,51,0.47,2,NaN
jp054n02,spikeUnit11,left,480,51,0.47,2,25
jp054n02,spikeUnit11,left,348,51,0.42,1,NaN
jp054n02,spikeUnit11,left,218,51,0.42,1,-6
jp054n02,spikeUnit11,left,348,51,0.47,2,20
jp054n02,spikeUnit11,left,611,51,0.47,2,-35
jp054n02,spikeUnit12,left,480,51,0.47,2,19
jp054n02,spikeUnit12,left,348,51,0.42,1,NaN
jp054n02,spikeUnit12,left,218,51,0.42,1,-4
jp054n02,spikeUnit12,left,348,51,0.47,2,-40
jp054n02,spikeUnit12,left,611,51,0.47,2,-48
jp054n02,spikeUnit13,left,480,51,0.47,2,-43
jp054n02,spikeUnit13,left,348,51,0.42,1,9
jp054n02,spikeUnit13,left,218,51,0.42,1,-13
jp054n02,spikeUnit13,left,348,51,0.47,2,-47
jp054n02,spikeUnit13,left,611,51,0.47,2,-5
jp054n02,spikeUnit14,left,480,51,0.47,2,-32
jp054n02,spikeUnit14,left,348,51,0.42,1,NaN
jp054n02,spikeUnit14,left,218,51,0.42,1,-43
jp054n02,spikeUnit14,left,348,51,0.47,2,NaN
jp054n02,spikeUnit14,left,611,51,0.47,2,NaN
jp054n02,spikeUnit15,left,480,51,0.47,2,-4
jp054n02,spikeUnit15,left,348,51,0.42,1,NaN
jp054n02,spikeUnit15,left,218,51,0.42,1,NaN
jp054n02,spikeUnit15,left,348,51,0.47,2,-17
jp054n02,spikeUnit15,left,611,51,0.47,2,NaN
jp054n02,spikeUnit16,left,480,51,0.47,2,NaN
jp054n02,spikeUnit16,left,348,51,0.42,1,NaN
jp054n02,spikeUnit16,left,218,51,0.42,1,NaN
jp054n02,spikeUnit16,left,348,51,0.47,2,NaN
jp054n02,spikeUnit16,left,611,51,0.47,2,NaN
jp054n02,spikeUnit18,right,480,51,0.58,1,26
jp054n02,spikeUnit18,right,348,51,0.53,2,-13
jp054n02,spikeUnit18,right,611,51,0.58,1,NaN
jp054n02,spikeUnit18,right,348,51,0.58,1,14
jp054n02,spikeUnit18,right,480,51,0.53,2,4
jp054n02,spikeUnit19,right,480,51,0.58,1,NaN
jp054n02,spikeUnit19,right,348,51,0.53,2,-13
jp054n02,spikeUnit19,right,611,51,0.58,1,-35
jp054n02,spikeUnit19,right,348,51,0.58,1,NaN
jp054n02,spikeUnit19,right,480,51,0.53,2,57
jp054n02,spikeUnit20,right,480,51,0.58,1,26
jp054n02,spikeUnit20,right,348,51,0.53,2,36
jp054n02,spikeUnit20,right,611,51,0.58,1,34
jp054n02,spikeUnit20,right,348,51,0.58,1,7
jp054n02,spikeUnit20,right,480,51,0.53,2,33
jp054n02,spikeUnit21,right,480,51,0.58,1,0
jp054n02,spikeUnit21,right,348,51,0.53,2,19
jp054n02,spikeUnit21,right,611,51,0.58,1,29
jp054n02,spikeUnit21,right,348,51,0.58,1,-43
jp054n02,spikeUnit21,right,480,51,0.53,2,-42
jp054n02,spikeUnit22,right,480,51,0.58,1,6
jp054n02,spikeUnit22,right,348,51,0.53,2,28
jp054n02,spikeUnit22,right,611,51,0.58,1,NaN
jp054n02,spikeUnit22,right,348,51,0.58,1,-1
jp054n02,spikeUnit22,right,480,51,0.53,2,11
jp054n02,spikeUnit23,right,480,51,0.58,1,NaN
jp054n02,spikeUnit23,right,348,51,0.53,2,NaN
jp054n02,spikeUnit23,right,611,51,0.58,1,4
jp054n02,spikeUnit23,right,348,51,0.58,1,NaN
jp054n02,spikeUnit23,right,480,51,0.53,2,NaN
jp054n02,spikeUnit24,right,480,51,0.58,1,11
jp054n02,spikeUnit24,right,348,51,0.53,2,-43
jp054n02,spikeUnit24,right,611,51,0.58,1,NaN
jp054n02,spikeUnit24,right,348,51,0.58,1,13
jp054n02,spikeUnit24,right,480,51,0.53,2,-12
jp054n02,spikeUnit25,left,480,51,0.47,2,NaN
jp054n02,spikeUnit25,left,348,51,0.42,1,NaN
jp054n02,spikeUnit25,left,218,51,0.42,1,8
jp054n02,spikeUnit25,left,348,51,0.47,2,NaN
jp054n02,spikeUnit25,left,611,51,0.47,2,NaN
jp054n02,spikeUnit26,left,480,51,0.47,2,NaN
jp054n02,spikeUnit26,left,348,51,0.42,1,NaN
jp054n02,spikeUnit26,left,218,51,0.42,1,NaN
jp054n02,spikeUnit26,left,348,51,0.47,2,NaN
jp054n02,spikeUnit26,left,611,51,0.47,2,NaN
jp054n02,spikeUnit27,left,480,51,0.47,2,NaN
jp054n02,spikeUnit27,left,348,51,0.42,1,NaN
jp054n02,spikeUnit27,left,218,51,0.42,1,NaN
jp054n02,spikeUnit27,left,348,51,0.47,2,-34
jp054n02,spikeUnit27,left,611,51,0.47,2,NaN
jp054n02,spikeUnit28,right,480,51,0.58,1,23
jp054n02,spikeUnit28,right,348,51,0.53,2,2
jp054n02,spikeUnit28,right,611,51,0.58,1,-29
jp054n02,spikeUnit28,right,348,51,0.58,1,NaN
jp054n02,spikeUnit28,right,480,51,0.53,2,3
jp054n02,spikeUnit29,right,480,51,0.58,1,NaN
jp054n02,spikeUnit29,right,348,51,0.53,2,NaN
