sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
jp054n02,spikeUnit01,right,480,36,0.58,1,-13
jp054n02,spikeUnit01,right,348,36,0.53,2,-1
jp054n02,spikeUnit01,right,611,36,0.58,1,27
jp054n02,spikeUnit01,right,348,36,0.58,1,37
jp054n02,spikeUnit01,right,480,36,0.53,2,-36
jp054n02,spikeUnit02,right,480,36,0.58,1,-4
jp054n02,spikeUnit02,right,348,36,0.53,2,-23
jp054n02,spikeUnit02,right,611,36,0.58,1,-11
jp054n02,spikeUnit02,right,348,36,0.58,1,110
jp054n02,spikeUnit02,right,480,36,0.53,2,-36
jp054n02,spikeUnit03,right,480,36,0.58,1,59
jp054n02,spikeUnit03,right,348,36,0.53,2,-27
jp054n02,spikeUnit03,right,611,36,0.58,1,112
jp054n02,spikeUnit03,right,348,36,0.58,1,120
jp054n02,spikeUnit03,right,480,36,0.53,2,-36
jp054n02,spikeUnit04,right,480,36,0.58,1,49
jp054n02,spikeUnit04,right,348,36,0.53,2,-19
jp054n02,spikeUnit04,right,611,36,0.58,1,16
jp054n02,spikeUnit04,right,348,36,0.58,1,42
jp054n02,spikeUnit04,right,480,36,0.53,2,20
jp054n02,spikeUnit05,right,480,36,0.58,1,61
jp054n02,spikeUnit05,right,348,36,0.53,2,32
jp054n02,spikeUnit05,right,611,36,0.58,1,36
jp054n02,spikeUnit05,right,348,36,0.58,1,182
jp054n02,spikeUnit05,right,480,36,0.53,2,36
jp054n02,spikeUnit06,right,480,36,0.58,1,48
jp054n02,spikeUnit06,right,348,36,0.53,2,27
jp054n02,spikeUnit06,right,611,36,0.58,1,-9
jp054n02,spikeUnit06,right,348,36,0.58,1,82
jp054n02,spikeUnit06,right,480,36,0.53,2,-36
jp054n02,spikeUnit07,right,480,36,0.58,1,18
jp054n02,spikeUnit07,right,348,36,0.53,2,22
jp054n02,spikeUnit07,right,611,36,0.58,1,-25
jp054n02,spikeUnit07,right,348,36,0.58,1,65
jp054n02,spikeUnit07,right,480,36,0.53,2,-36
jp054n02,spikeUnit08,right,480,36,0.58,1,60
jp054n02,spikeUnit08,right,348,36,0.53,2,17
jp054n02,spikeUnit08,right,611,36,0.58,1,-36
jp054n02,spikeUnit08,right,348,36,0.58,1,48
jp054n02,spikeUnit08,right,480,36,0.53,2,-36
jp054n02,spikeUnit09,left,480,36,0.47,2,2
jp054n02,spikeUnit09,left,348,36,0.42,1,4
jp054n02,spikeUnit09,left,218,36,0.42,1,11
jp054n02,spikeUnit09,left,348,36,0.47,2,-31
jp054n02,spikeUnit09,left,611,36,0.47,2,-36
jp054n02,spikeUnit10,left,480,36,0.47,2,26
jp054n02,spikeUnit10,left,348,36,0.42,1,-36
jp054n02,spikeUnit10,left,218,36,0.42,1,17
jp054n02,spikeUnit10,left,348,36,0.47,2,-28
jp054n02,spikeUnit10,left,611,36,0.47,2,12
jp054n02,spikeUnit11,left,480,36,0.47,2,-36
jp054n02,spikeUnit11,left,348,36,0.42,1,29
jp054n02,spikeUnit11,left,218,36,0.42,1,20
jp054n02,spikeUnit11,left,348,36,0.47,2,-36
jp054n02,spikeUnit11,left,611,36,0.47,2,-36
jp054n02,spikeUnit12,left,480,36,0.47,2,-36
jp054n02,spikeUnit12,left,348,36,0.42,1,14
jp054n02,spikeUnit12,left,218,36,0.42,1,33
jp054n02,spikeUnit12,left,348,36,0.47,2,-25
jp054n02,spikeUnit12,left,611,36,0.47,2,-36
jp054n02,spikeUnit13,left,480,36,0.47,2,-29
jp054n02,spikeUnit13,left,348,36,0.42,1,-9
jp054n02,spikeUnit13,left,218,36,0.42,1,18
jp054n02,spikeUnit13,left,348,36,0.47,2,-7
jp054n02,spikeUnit13,left,611,36,0.47,2,14
jp054n02,spikeUnit14,left,480,36,0.47,2,27
jp054n02,spikeUnit14,left,348,36,0.42,1,-27
jp054n02,spikeUnit14,left,218,36,0.42,1,32
jp054n02,spikeUnit14,left,348,36,0.47,2,-4
jp054n02,spikeUnit14,left,611,36,0.47,2,NaN
jp054n02,spikeUnit15,left,480,36,0.47,2,45
jp054n02,spikeUnit15,left,348,36,0.42,1,NaN
jp054n02,spikeUnit15,left,218,36,0.42,1,43
jp054n02,spikeUnit15,left,348,36,0.47,2,0
jp054n02,spikeUnit15,left,611,36,0.47,2,NaN
