sessionID,unit,ssrt,coherence,ssd,nStop,pValue40ms,cancelTime
jp083n02,spikeUnit08,48,0.61,247,11,0.340220150203765,1
jp083n02,spikeUnit08,48,0.61,363,11,0.619660973510167,20
jp083n02,spikeUnit08,48,0.55,363,11,0.0525715082613648,46
jp083n02,spikeUnit08,48,0.55,247,15,0.376497023386161,55
jp083n02,spikeUnit17,48,0.61,247,11,0.151456513878956,-22
jp083n02,spikeUnit17,48,0.61,363,11,0.139704938550926,72
jp083n02,spikeUnit17,48,0.55,363,11,0.24584171995911,173
jp083n02,spikeUnit17,48,0.55,247,15,0.865034050219041,106
jp090n02,spikeUnit01,81,0.61,133,25,0.00283602068169707,-25
jp090n02,spikeUnit01,81,0.55,133,32,0.00100982413124483,-7
jp090n02,spikeUnit01,81,0.61,248,51,0.00949983881097621,-1
jp090n02,spikeUnit01,81,0.55,248,59,0.0808321003013002,17
jp090n02,spikeUnit12,81,0.61,133,25,0.444091191858439,NaN
jp090n02,spikeUnit12,81,0.55,133,32,0.0346427664318032,-3
jp090n02,spikeUnit12,81,0.61,248,51,0.666397209801696,52
jp090n02,spikeUnit12,81,0.55,248,59,0.674923862636248,NaN
jp090n02,spikeUnit14,81,0.61,133,25,0.000841472658975104,-15
jp090n02,spikeUnit14,81,0.55,133,32,0.000490730041729663,-6
jp090n02,spikeUnit14,81,0.61,248,51,0.307060817711076,14
jp090n02,spikeUnit14,81,0.55,248,59,0.253004553177255,9
jp090n02,spikeUnit15,81,0.61,133,25,0.0190328204154856,-12
jp090n02,spikeUnit15,81,0.55,133,32,0.00167809393954684,-20
jp090n02,spikeUnit15,81,0.61,248,51,0.44386568535119,60
jp090n02,spikeUnit15,81,0.55,248,59,0.343834901209424,0
jp090n02,spikeUnit16,81,0.61,133,25,0.00380640870222305,-21
jp090n02,spikeUnit16,81,0.55,133,32,1.93778187301914e-05,-25
jp090n02,spikeUnit16,81,0.61,248,51,0.311445452004169,4
jp090n02,spikeUnit16,81,0.55,248,59,0.00761699091011483,-4
jp090n02,spikeUnit25,81,0.61,133,25,3.56536562513982e-05,-30
jp090n02,spikeUnit25,81,0.55,133,32,3.56756505079909e-05,-7
jp090n02,spikeUnit25,81,0.61,248,51,0.00481431700949894,-4
jp090n02,spikeUnit25,81,0.55,248,59,0.000594142650652882,-11
jp090n02,spikeUnit26,81,0.61,133,25,4.91121688030032e-05,-21
jp090n02,spikeUnit26,81,0.55,133,32,3.48651149291051e-06,-27
jp090n02,spikeUnit26,81,0.61,248,51,0.0354453776448774,-9
jp090n02,spikeUnit26,81,0.55,248,59,0.00755462629955629,-4
jp090n02,spikeUnit27,81,0.61,133,25,0.144128300968779,5
jp090n02,spikeUnit27,81,0.55,133,32,0.00732906335218219,-13
jp090n02,spikeUnit27,81,0.61,248,51,0.526772028939897,28
jp090n02,spikeUnit27,81,0.55,248,59,0.0194864737512036,3
jp090n02,spikeUnit31,81,0.61,133,25,0.000858290224029862,-33
jp090n02,spikeUnit31,81,0.55,133,32,0.0117792519921961,0
jp090n02,spikeUnit31,81,0.61,248,51,0.143781153688095,-22
jp090n02,spikeUnit31,81,0.55,248,59,0.0039326956892205,-5
jp106n02,spikeUnit05,96,0.6,243,18,0.00194029038073883,-18
jp106n02,spikeUnit05,96,0.55,243,22,0.00536409362667948,7
jp106n02,spikeUnit05,96,0.6,100,26,0.0504067087696056,0
jp106n02,spikeUnit05,96,0.55,100,27,0.178084142327103,10
jp106n02,spikeUnit05,96,0.55,386,29,0.0129537681804362,-26
jp106n02,spikeUnit14,96,0.6,243,18,0.0500529774900642,-17
jp106n02,spikeUnit14,96,0.55,243,22,0.0379578683978433,-41
jp106n02,spikeUnit14,96,0.6,100,26,0.0139713388998583,-11
jp106n02,spikeUnit14,96,0.55,100,27,0.000303054427406213,-15
jp106n02,spikeUnit14,96,0.55,386,29,0.0119694336350693,-96
jp106n02,spikeUnit17,96,0.6,243,18,0.946599344543786,35
jp106n02,spikeUnit17,96,0.55,243,22,0.30930108803613,7
jp106n02,spikeUnit17,96,0.6,100,26,0.123810443424524,-2
jp106n02,spikeUnit17,96,0.55,100,27,0.798049211593316,27
jp106n02,spikeUnit17,96,0.55,386,29,0.0148784411361112,-61
jp106n02,spikeUnit18,96,0.6,243,18,1.71832874584794e-06,-19
jp106n02,spikeUnit18,96,0.55,243,22,1.19173215040766e-06,-40
jp106n02,spikeUnit18,96,0.6,100,26,6.56288156458505e-05,-5
jp106n02,spikeUnit18,96,0.55,100,27,0.00668232103912842,-8
jp106n02,spikeUnit18,96,0.55,386,29,7.10259586618063e-09,-62
jp106n02,spikeUnit19,96,0.6,243,18,0.00096669708833459,-96
