sessionID,unit,category
jp083n02,spikeUnit06,ddm_cancel
jp083n02,spikeUnit07,ddm_cancel
jp083n02,spikeUnit08,ddm_cancel
jp083n02,spikeUnit32,ddm_cancel
jp090n02,spikeUnit01,ddm_cancel
jp090n02,spikeUnit12,ddm_cancel
jp090n02,spikeUnit14,ddm_cancel
jp090n02,spikeUnit15,ddm_cancel
jp090n02,spikeUnit16,ddm_cancel
jp090n02,spikeUnit24,ddm_cancel
jp090n02,spikeUnit25,ddm_cancel
jp090n02,spikeUnit26,ddm_cancel
jp090n02,spikeUnit27,ddm_cancel
jp090n02,spikeUnit31,ddm_cancel
jp106n02,spikeUnit05,ddm_cancel
jp106n02,spikeUnit14,ddm_cancel
jp106n02,spikeUnit17,ddm_cancel
jp106n02,spikeUnit18,ddm_cancel
jp106n02,spikeUnit19,ddm_cancel
jp106n02,spikeUnit21,ddm_cancel
jp106n02,spikeUnit22,ddm_cancel
jp106n02,spikeUnit23,ddm_cancel
jp106n02,spikeUnit31,ddm_cancel
jp106n02,spikeUnit32,ddm_cancel
jp110n02,spikeUnit10,ddm_cancel
jp110n02,spikeUnit11,ddm_cancel
jp110n02,spikeUnit13,ddm_cancel
jp110n02,spikeUnit15,ddm_cancel
jp110n02,spikeUnit16,ddm_cancel
jp110n02,spikeUnit30,ddm_cancel
jp111n02,spikeUnit11,ddm_cancel
jp111n02,spikeUnit17,ddm_cancel
jp113n02,spikeUnit10,ddm_cancel
jp119n02,spikeUnit02,ddm_cancel
jp119n02,spikeUnit08,ddm_cancel
jp119n02,spikeUnit14,ddm_cancel
jp119n02,spikeUnit15,ddm_cancel
jp119n02,spikeUnit17,ddm_cancel
jp119n02,spikeUnit18,ddm_cancel
jp119n02,spikeUnit25,ddm_cancel
jp119n02,spikeUnit26,ddm_cancel
jp119n02,spikeUnit27,ddm_cancel
jp119n02,spikeUnit30,ddm_cancel
jp119n02,spikeUnit32,ddm_cancel
jp121n02,spikeUnit09,ddm_cancel
jp121n02,spikeUnit10,ddm_cancel
jp121n02,spikeUnit11,ddm_cancel
jp121n02,spikeUnit12,ddm_cancel
jp121n02,spikeUnit13,ddm_cancel
jp121n02,spikeUnit14,ddm_cancel
